#N =          J1         KA         KC         J2          E
  875         19          9         10          4   7163.977
  876         17         14          3          2   7166.001
  877         14          4         11          8   7172.799
  878         16         13          4          4   7180.418
  879         18         13          6          2   7182.941
  880         20          7         14          4   7187.684
  881          4          4          1         10   7188.518
  882         13          6          7          8   7195.543
  883         17         12          5          4   7204.902
  884          5          3          2         10   7205.064
  885         16         15          2          2   7208.338
  886         25          2         23          0   7210.450
  887         15         14          1          4   7215.398
  888         18         14          5          0   7239.664
  889          6          2          5         10   7248.269
  890         21         10         11          0   7250.929
  891         17         15          2          0   7256.245
  892         11          9          2          8   7259.571
  893         19         12          7          2   7260.973
  894         26          2         25          0   7267.929
  895         19          3         16          6   7272.900
  896         27          0         27          0   7279.559
  897          7          0          7         10   7281.200
  898         22          8         15          0   7281.248
  899         19         13          6          0   7283.030
  900         23          5         18          0   7283.797
  901         12          8          5          8   7288.045
  902         10         10          1          8   7290.763
  903         18         11          8          4   7290.954
  904         15          2         13          8   7292.373
  905          5          4          1         10   7310.537
  906         22          4         19          4   7311.975
  907         23          4         19          2   7317.653
  908         17          8          9          6   7328.533
  909         16         16          1          0   7331.418
  910         18          6         13          6   7341.322
  911          6          3          4         10   7345.801
  912         21          9         12          2   7354.964
  913         14          5         10          8   7357.121
  914         16          2         15          8   7363.296
  915         14         12          3          6   7372.071
  916         15         11          4          6   7377.816
  917         13          7          6          8   7380.578
  918         20          3         18          6   7384.891
  919         17          0         17          8   7387.208
  920         20         12          9          0   7388.494
  921         22          7         16          2   7391.883
  922          7          1          6         10   7400.992
  923         20         11         10          2   7403.118
  924         20          8         13          4   7418.522
  925         23          2         21          4   7419.327
  926         13         13          0          6   7425.282
  927          8          1          8         10   7439.682
  928         19         10          9          4   7442.442
  929         21          5         16          4   7442.947
  930         16         10          7          6   7444.550
  931         21          1         20          6   7448.832
  932          5          5          0         10   7451.565
  933          6          4          3         10   7457.157
  934         22          1         22          6   7466.562
  935         24          4         21          2   7471.088
  936         24          2         23          4   7479.360
  937          7          2          5         10   7481.217
  938         24          5         20          0   7487.580
  939         25          0         25          4   7493.424
  940         15          3         12          8   7518.779
  941         22          9         14          0   7531.029
  942         14          6          9          8   7534.073
  943          7          3          4         10   7541.819
  944         19          4         15          6   7551.890
  945         12          9          4          8   7552.458
  946         18          7         12          6   7555.150
  947         11         10          1          8   7557.852
  948         21         11         10          0   7559.803
  949         25          2         23          2   7575.568
  950         17          9          8          6   7576.282
  951         23          6         17          0   7578.980
  952          8          2          7         10   7583.069
  953         17         13          4          4   7595.042
  954          6          5          2         10   7597.598
  955         16         14          3          4   7604.207
  956         18         14          5          2   7604.782
  957         13          8          5          8   7607.966
  958         21         10         11          2   7616.047
  959          9          0          9         10   7616.532
  960         17         15          2          2   7621.363
  961          7          4          3         10   7632.774
  962         26          2         25          2   7633.047
  963         16          3         14          8   7639.029
  964         25          3         22          0   7639.278
  965         27          0         27          2   7644.677
  966         18         12          7          4   7646.097
  967         22          8         15          2   7646.366
  968         19         13          6          2   7648.148
  969         23          5         18          2   7648.915
  970         22          5         18          4   7653.075
  971         20          9         12          4   7663.478
  972         15         15          0          4   7672.063
  973         21          6         15          4   7686.389
  974         18         15          4          0   7694.179
  975         16         16          1          2   7696.536
  976         19         14          5          0   7703.615
  977         15          4         11          8   7704.956
  978          8          3          6         10   7706.099
  979         17          1         16          8   7708.421
  980         20          4         17          6   7713.726
  981         14          7          8          8   7727.954
  982         18          1         18          8   7731.087
  983         15         12          3          6   7737.433
  984         26          3         24          0   7742.361
  985         17         16          1          0   7743.864
  986         20         12          9          2   7753.612
  987         19         11          8          4   7759.911
  988         14         13          2          6   7765.045
  989          7          5          2         10   7768.941
  990         16         11          6          6   7769.515
  991          6          6          1         10   7770.361
  992         20         13          8          0   7773.765
  993         18          8         11          6   7775.731
  994          9          1          8         10   7778.381
  995         19          5         14          6   7793.055
  996         27          1         26          0   7798.574
  997         22         10         13          0   7801.844
  998         23          3         20          4   7808.243
  999         28          1         28          0   7808.989
 1000         10          1         10         10   7811.998
 1001         23          7         16          0   7820.631
 1002         21          2         19          6   7824.085
 1003          8          4          5         10   7825.941
 1004         15          5         10          8   7836.139
 1005         24          6         19          0   7839.966
 1006         12         10          3          8   7849.829
 1007         24          5         20          2   7852.698
 1008         17         10          7          6   7863.798
 1009         21          7         14          4   7865.373
 1010         13          9          4          8   7870.657
 1011         22          2         21          6   7886.711
 1012         16          4         13          8   7887.263
 1013         11         11          0          8   7888.371
 1014         22          9         14          2   7896.147
 1015         23          0         23          6   7903.216
 1016          9          2          7         10   7906.096
 1017         21         12          9          0   7907.181
 1018         24          3         22          4   7914.146
 1019         21         11         10          2   7924.921
 1020          7          6          1         10   7940.601
 1021         20         10         11          4   7940.730
 1022         23          6         17          2   7944.098
 1023         15          6          9          8   7949.641
 1024         14          8          7          8   7953.727
 1025         22          6         17          4   7964.132
 1026          8          5          4         10   7965.304
 1027         25          1         24          4   7972.898
 1028         19          6         13          6   7976.664
 1029         26          1         26          4   7985.744
 1030          9          3          6         10   7990.414
 1031         10          2          9         10   7994.505
 1032         23          8         15          0   7996.017
